dispute_id,suggested_action,justification
D001,AUTO_REFUND,Duplicate transactions confirm initiation of refund
D002,ESCALATE_TO_BANK,"Since transaction failed, an escalation required to the bank"
D003,ESCALATE_TO_BANK,"Since transaction failed, an escalation required to the bank"
D004,POTENTIAL_FRAUD,Potential fraud detected
D005,MANUAL_REVIEW,"Since refund pending, customer needs an update through manual intervention"
D006,AUTO_REFUND,Duplicate transactions confirm initiation of refund
D007,ESCALATE_TO_BANK,"Since transaction failed, an escalation required to the bank"
D008,MORE_INFO_REQUIRED,"Couldn't classify the dispute, more input required"
D009,MORE_INFO_REQUIRED,"Couldn't classify the dispute, more input required"
D010,MANUAL_REVIEW,"Since refund pending, customer needs an update through manual intervention"
D011,AUTO_REFUND,Duplicate transactions confirm initiation of refund
D012,MORE_INFO_REQUIRED,"Couldn't classify the dispute, more input required"
D013,AUTO_REFUND,Duplicate transactions confirm initiation of refund
D014,ESCALATE_TO_BANK,"Since transaction failed, an escalation required to the bank"
D015,ESCALATE_TO_BANK,"Since transaction failed, an escalation required to the bank"
D016,POTENTIAL_FRAUD,Potential fraud detected
D017,ESCALATE_TO_BANK,"Since transaction failed, an escalation required to the bank"
D018,POTENTIAL_FRAUD,Potential fraud detected
D019,MANUAL_REVIEW,"Since refund pending, customer needs an update through manual intervention"
D020,AUTO_REFUND,Duplicate transactions confirm initiation of refund
